Date,Open,High,Low,Close,Volume,Ticker,
19921203,1442.09998,1442.09998,1442.09998,1442.09998,668099968,XJO,
19921204,1443.19995,1443.19995,1443.19995,1443.19995,895900032,XJO,
19921207,1454.30005,1454.30005,1454.30005,1454.30005,283400000,XJO,
19921208,1480.30005,1480.30005,1480.30005,1480.30005,409000000,XJO,
19921209,1494.90002,1494.90002,1494.90002,1494.90002,438700000,XJO,
19921210,1515.09998,1515.09998,1515.09998,1515.09998,856400000,XJO,
19921211,1513.30005,1513.30005,1513.30005,1513.30005,244400000,XJO,
19921214,1525.90002,1525.90002,1525.90002,1525.90002,767200000,XJO,
19921215,1522.30005,1522.30005,1522.30005,1522.30005,502100000,XJO,
19921216,1508.5,1508.5,1508.5,1508.5,475600000,XJO,
19921217,1512,1512,1512,1512,480100000,XJO,
19921218,1529.40002,1529.40002,1529.40002,1529.40002,1030099968,XJO,
19921221,1551.69995,1551.69995,1551.69995,1551.69995,572099968,XJO,
19921222,1543.5,1543.5,1543.5,1543.5,260500000,XJO,
19921223,1536.40002,1536.40002,1536.40002,1536.40002,232000000,XJO,
19921224,1547.59998,1547.59998,1547.59998,1547.59998,234400000,XJO,
19921229,1553.5,1553.5,1553.5,1553.5,157900000,XJO,
19921230,1552.30005,1552.30005,1552.30005,1552.30005,203400000,XJO,
19921231,1564.69995,1564.69995,1564.69995,1564.69995,32900000,XJO,
19930104,1576.09998,1576.09998,1576.09998,1576.09998,123100000,XJO,
19930105,1579.90002,1579.90002,1579.90002,1579.90002,495400000,XJO,
19930106,1554.80005,1554.80005,1554.80005,1554.80005,663500032,XJO,
19930107,1542.09998,1542.09998,1542.09998,1542.09998,365200000,XJO,
19930108,1510.40002,1510.40002,1510.40002,1510.40002,517000000,XJO,
19930111,1523.59998,1523.59998,1523.59998,1523.59998,647900032,XJO,
19930112,1517.90002,1517.90002,1517.90002,1517.90002,637900032,XJO,
19930113,1502.19995,1502.19995,1502.19995,1502.19995,348300000,XJO,
19930114,1515.40002,1515.40002,1515.40002,1515.40002,322800000,XJO,
19930115,1534.09998,1534.09998,1534.09998,1534.09998,419900000,XJO,
19930118,1538.30005,1538.30005,1538.30005,1538.30005,204300000,XJO,
19930119,1527.59998,1527.59998,1527.59998,1527.59998,345800000,XJO,
19930120,1530.90002,1530.90002,1530.90002,1530.90002,63600000,XJO,
19930121,1528.40002,1528.40002,1528.40002,1528.40002,290600000,XJO,
19930122,1533,1533,1533,1533,373900000,XJO,
19930125,1532.80005,1532.80005,1532.80005,1532.80005,110300000,XJO,
19930126,1539.09998,1539.09998,1539.09998,1539.09998,379300000,XJO,
19930127,1544.40002,1544.40002,1544.40002,1544.40002,380500000,XJO,
19930128,1536.09998,1536.09998,1536.09998,1536.09998,387000000,XJO,
19930129,1536.5,1536.5,1536.5,1536.5,518300000,XJO,
19930201,1538.30005,1538.30005,1538.30005,1538.30005,365900000,XJO,
19930202,1538.30005,1538.30005,1538.30005,1538.30005,228800000,XJO,
19930203,1538.5,1538.5,1538.5,1538.5,489900000,XJO,
19930204,1540,1540,1540,1540,393200000,XJO,
19930205,1552.5,1552.5,1552.5,1552.5,289600000,XJO,
19930208,1568.5,1568.5,1568.5,1568.5,417400000,XJO,
19930209,1595.09998,1595.09998,1595.09998,1595.09998,627900032,XJO,
19930210,1602,1602,1602,1602,458400000,XJO,
19930211,1610.09998,1610.09998,1610.09998,1610.09998,537299968,XJO,
19930212,1614.30005,1614.30005,1614.30005,1614.30005,798700032,XJO,
19930215,1607.19995,1607.19995,1607.19995,1607.19995,326000000,XJO,
19930216,1623.90002,1623.90002,1623.90002,1623.90002,757400000,XJO,
19930217,1612.80005,1612.80005,1612.80005,1612.80005,272700000,XJO,
19930218,1618.40002,1618.40002,1618.40002,1618.40002,268100000,XJO,
19930219,1604.30005,1604.30005,1604.30005,1604.30005,571000000,XJO,
19930222,1615.69995,1615.69995,1615.69995,1615.69995,541500032,XJO,
19930223,1619.5,1619.5,1619.5,1619.5,373300000,XJO,
19930224,1615.19995,1615.19995,1615.19995,1615.19995,932200000,XJO,
19930225,1617,1617,1617,1617,446300000,XJO,
19930226,1620.19995,1620.19995,1620.19995,1620.19995,1461400064,XJO,
19930301,1652.80005,1652.80005,1652.80005,1652.80005,545900032,XJO,
19930302,1658,1658,1658,1658,518500000,XJO,
19930303,1637.30005,1637.30005,1637.30005,1637.30005,250500000,XJO,
19930304,1633.90002,1633.90002,1633.90002,1633.90002,420600000,XJO,
19930305,1623.59998,1623.59998,1623.59998,1623.59998,367200000,XJO,
19930308,1626.5,1626.5,1626.5,1626.5,314700000,XJO,
19930309,1644.09998,1644.09998,1644.09998,1644.09998,696600000,XJO,
19930310,1658.59998,1658.59998,1658.59998,1658.59998,727699968,XJO,
19930311,1672.80005,1672.80005,1672.80005,1672.80005,976499968,XJO,
19930312,1671.90002,1671.90002,1671.90002,1671.90002,898899968,XJO,
19930315,1635.30005,1635.30005,1635.30005,1635.30005,491300000,XJO,
19930316,1669.19995,1669.19995,1669.19995,1669.19995,784499968,XJO,
19930317,1687.09998,1687.09998,1687.09998,1687.09998,693699968,XJO,
19930318,1681.59998,1681.59998,1681.59998,1681.59998,92600000,XJO,
19930319,1689.69995,1689.69995,1689.69995,1689.69995,285000000,XJO,
19930322,1674.90002,1674.90002,1674.90002,1674.90002,321800000,XJO,
19930323,1670,1670,1670,1670,942499968,XJO,
19930324,1673.69995,1673.69995,1673.69995,1673.69995,343200000,XJO,
19930325,1670.69995,1670.69995,1670.69995,1670.69995,358900000,XJO,
19930326,1685.59998,1685.59998,1685.59998,1685.59998,941600000,XJO,
19930329,1686.30005,1686.30005,1686.30005,1686.30005,253200000,XJO,
19930330,1687.19995,1687.19995,1687.19995,1687.19995,455300000,XJO,
19930331,1674.5,1674.5,1674.5,1674.5,682400000,XJO,
